instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order
single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__q10_top_tenants__lookback_days-14__limit_k-25,q10_top_tenants,"{""limit_k"": 25, ""lookback_days"": 14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__q10_top_tenants__lookback_days-14__limit_k-25.sql,"topk,final_ordering,high_group_cardinality",clean-run-eu-us-gac-v1,single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,top_tenants,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",,,baseline,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,100
single_global_user_default__dataset-pilot-balanced-v1__runtime-default__q07_global_user_segment_join__lookback_days-3__limit_k-25,q07_global_user_segment_join,"{""limit_k"": 25, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_global_user_default__dataset-pilot-balanced-v1__runtime-default__q07_global_user_segment_join__lookback_days-3__limit_k-25.sql,"non_colocated_join,repartition_candidate,high_group_cardinality",clean-run-eu-us-gac-v1,single_global_user_default__dataset-pilot-balanced-v1__runtime-default,global_user_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,join_movement,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",supports_global_users,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,101
single_tenant_tier_join_default__dataset-pilot-balanced-v1__runtime-default__q05_tenant_tier_daily_join__lookback_days-3,q05_tenant_tier_daily_join,"{""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_tenant_tier_join_default__dataset-pilot-balanced-v1__runtime-default__q05_tenant_tier_daily_join__lookback_days-3.sql,"reference_join,daily_group_by,distributed_aggregate",clean-run-eu-us-gac-v1,single_tenant_tier_join_default__dataset-pilot-balanced-v1__runtime-default,tenant_tier_daily_join,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,102
single_event_filter_default__dataset-pilot-balanced-v1__runtime-default__q03_event_filter_summary__lookback_days-7__min_value-900,q03_event_filter_summary,"{""lookback_days"": 7, ""min_value"": 900}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_event_filter_default__dataset-pilot-balanced-v1__runtime-default__q03_event_filter_summary__lookback_days-7__min_value-900.sql,"selective_filter,scan_pressure,aggregate",clean-run-eu-us-gac-v1,single_event_filter_default__dataset-pilot-balanced-v1__runtime-default,event_filter_summary,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,103
single_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__q04_tenant_point_rollup__tenant_id-100__lookback_days-1,q04_tenant_point_rollup,"{""lookback_days"": 1, ""tenant_id"": 100}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__q04_tenant_point_rollup__tenant_id-100__lookback_days-1.sql,"tenant_filter,shard_pruning_candidate,local_aggregate",clean-run-eu-us-gac-v1,single_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,tenant_point_rollup,single_region_citus,pilot-balanced-v1,default,eu_us_gac,negative_control,,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,104
single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__q10_top_tenants__lookback_days-3__limit_k-25,q10_top_tenants,"{""limit_k"": 25, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__q10_top_tenants__lookback_days-3__limit_k-25.sql,"topk,final_ordering,high_group_cardinality",clean-run-eu-us-gac-v1,single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,top_tenants,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",,,baseline,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,105
single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-7__limit_k-50,q02_global_user_topk,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_user_value_default__dataset-pilot-balanced-v1__runtime-default__q02_global_user_topk__lookback_days-7__limit_k-50.sql,"high_group_cardinality,final_ordering,topk",clean-run-eu-us-gac-v1,single_user_value_default__dataset-pilot-balanced-v1__runtime-default,user_value_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",supports_high_group_cardinality,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,106
single_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-500,q01_tenant_rollup,"{""lookback_days"": 30, ""min_value"": 500}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__q01_tenant_rollup__lookback_days-30__min_value-500.sql,"regional_reduction,low_global_fanin",clean-run-eu-us-gac-v1,single_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",supports_reference_join,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,107
single_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__q08_multi_dimension_rollup__lookback_days-30__limit_k-25,q08_multi_dimension_rollup,"{""limit_k"": 25, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default__q08_multi_dimension_rollup__lookback_days-30__limit_k-25.sql,"multi_join,reference_join,colocated_join,daily_group_by",clean-run-eu-us-gac-v1,single_multi_dimension_default__dataset-pilot-balanced-v1__runtime-default,multi_dimension_rollup,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,108
single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__q10_top_tenants__lookback_days-1__limit_k-25,q10_top_tenants,"{""limit_k"": 25, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__q10_top_tenants__lookback_days-1__limit_k-25.sql,"topk,final_ordering,high_group_cardinality",clean-run-eu-us-gac-v1,single_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,top_tenants,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",,,baseline,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,109
single_global_user_default__dataset-pilot-balanced-v1__runtime-default__q07_global_user_segment_join__lookback_days-1__limit_k-10,q07_global_user_segment_join,"{""limit_k"": 10, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__coordinators/queries/single_global_user_default__dataset-pilot-balanced-v1__runtime-default__q07_global_user_segment_join__lookback_days-1__limit_k-10.sql,"non_colocated_join,repartition_candidate,high_group_cardinality",clean-run-eu-us-gac-v1,single_global_user_default__dataset-pilot-balanced-v1__runtime-default,global_user_topk,single_region_citus,pilot-balanced-v1,default,eu_us_gac,baseline,,join_movement,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""high""}",supports_global_users,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,110
